nom_med,prenom_med,specialite,id_user
Fall,Cheikh,Pediatrie,3960
Ba,Aminata,Chirurgie,4149
Fall,Abdoulaye,Pediatrie,9091
Diop,Oumar,Cardiologie,387
Sow,Fatou,Medecine generale,6828
Sow,Oumar,Chirurgie,9114
Ndiaye,Mariama,Pediatrie,8019
Diop,Cheikh,Pediatrie,7426
Ba,Mamadou,Dermatologie,5847
Sy,Cheikh,Pediatrie,444
Diallo,Awa,Gynecologie,5662
Sarr,Ousmane,Dermatologie,5925
Diallo,Aminata,Cardiologie,7968
Fall,Awa,Pediatrie,9126
Sarr,Khady,Gynecologie,9246
Diallo,Ibrahima,Pediatrie,8711
Sarr,Aminata,Medecine generale,2202
Sarr,Ousmane,Medecine generale,6029
Faye,Oumar,Cardiologie,7999
Sy,Ousmane,Cardiologie,180
Ba,Abdoulaye,Medecine generale,2545
Diop,Aminata,Chirurgie,5684
Diallo,Khady,Dermatologie,8596
Sy,Ibrahima,Pediatrie,1139
Ba,Oumar,Cardiologie,7281
Sow,Awa,Cardiologie,5577
Gueye,Khady,Cardiologie,7773
Gueye,Aminata,Pediatrie,6103
Diop,Aminata,Dermatologie,3641
Sarr,Abdoulaye,Gynecologie,1445
Ndiaye,Moussa,Pediatrie,1506
Sow,Khady,Chirurgie,4113
Sarr,Khady,Medecine generale,4917
Kane,Ousmane,Pediatrie,5011
Faye,Khady,Medecine generale,5178
Kane,Mariama,Chirurgie,1921
Gueye,Cheikh,Dermatologie,8492
Diallo,Mariama,Dermatologie,8996
Sarr,Fatou,Cardiologie,2265
Sow,Oumar,Pediatrie,785
Kane,Ousmane,Dermatologie,9444
Sow,Khady,Chirurgie,9845
Sow,Ibrahima,Dermatologie,1879
Diallo,Moussa,Pediatrie,6073
Diallo,Aminata,Cardiologie,9364
Diallo,Ousmane,Pediatrie,7371
Kane,Oumar,Cardiologie,5224
Ndiaye,Fatou,Cardiologie,767
Diallo,Cheikh,Pediatrie,1659
Faye,Ibrahima,Dermatologie,1271
Ndiaye,Moussa,Medecine generale,4317
Ba,Oumar,Pediatrie,6277
Sy,Cheikh,Pediatrie,2718
Sow,Ibrahima,Chirurgie,6676
Sarr,Oumar,Chirurgie,6761
Sy,Moussa,Chirurgie,9377
Kane,Mamadou,Cardiologie,4620
Faye,Mamadou,Gynecologie,6707
Diop,Fatou,Gynecologie,3889
Ndiaye,Ousmane,Dermatologie,7868
