nom_pat,prenom_pat,date_naissance,sexe,telephone
Sarr,Abdoulaye,1970-06-08,m,789909130
Sow,Oumar,1998-11-27,m,761011712
Faye,Moussa,1983-10-09,m,703311827
Faye,Mariama,2023-10-31,f,705528721
Diallo,Awa,1962-02-11,f,778649571
Sow,Moussa,1941-07-31,m,770308505
Sow,Moussa,1971-06-17,m,779372711
Ba,Oumar,1975-11-09,m,760484447
Fall,Fatou,1948-07-31,f,775167636
Kane,Awa,1969-02-22,f,707722688
Gueye,Oumar,1999-08-22,m,775731746
Sow,Mariama,1994-02-24,f,762678091
Sy,Awa,2005-12-14,f,785565835
Kane,Khady,1989-02-21,f,765351221
Diop,Oumar,2005-12-01,m,760420293
Diop,Mariama,2018-12-15,f,783225688
Diop,Mamadou,1950-05-27,m,760320433
Sarr,Ibrahima,1997-11-09,m,775806889
Faye,Ousmane,1964-05-14,m,785054064
Ba,Oumar,1953-03-03,m,764883782
Ndiaye,Cheikh,2009-12-13,m,778796880
Faye,Ibrahima,1952-05-03,m,703468194
Fall,Fatou,2010-10-27,f,767092921
Sarr,Awa,2000-09-27,f,781279277
Ba,Awa,2014-07-12,f,705758549
Fall,Awa,1951-02-27,f,708600548
Diop,Abdoulaye,1981-05-11,m,761009656
Fall,Mamadou,2000-09-23,m,768602469
Sarr,Moussa,1994-01-03,m,764658553
Faye,Ibrahima,1972-02-21,m,770012978
Ndiaye,Mamadou,1975-12-09,m,700904708
Faye,Khady,1978-05-22,f,775732211
Fall,Awa,1984-08-15,f,705367693
Kane,Mariama,2023-09-03,f,778597562
Diop,Mamadou,1957-08-25,m,771098954
Ba,Mamadou,1995-10-29,m,763040575
Ba,Cheikh,1997-09-12,m,760656050
Sow,Mariama,1948-10-06,f,789270284
Ba,Moussa,1989-12-01,m,766176233
Fall,Awa,1987-01-18,f,705504703
Sarr,Oumar,2002-04-04,m,701898850
Ba,Awa,1987-05-27,f,777366935
Faye,Oumar,1987-08-28,m,789840221
Gueye,Abdoulaye,1969-06-24,m,789318256
Diop,Abdoulaye,2018-06-20,m,785256659
Faye,Khady,1987-02-19,f,778966970
Diallo,Ibrahima,2011-02-13,m,701204459
Fall,Abdoulaye,1996-07-27,m,704769002
Sy,Awa,1989-11-23,f,762325334
Ndiaye,Fatou,1984-04-24,f,783844078
Diop,Fatou,2011-05-31,f,760227112
Kane,Aminata,2015-08-09,f,773297066
Fall,Moussa,1955-09-28,m,772873407
Ba,Ibrahima,1940-11-25,m,781915103
Ndiaye,Moussa,1989-08-15,m,763636812
Ndiaye,Cheikh,2018-02-22,m,709277876
Ndiaye,Oumar,2001-12-14,m,789165650
Faye,Cheikh,1989-09-15,m,765323490
Sow,Moussa,2011-01-31,m,769240106
Fall,Aminata,2001-10-23,f,782714634
Diop,Oumar,1940-02-14,m,704029698
Faye,Aminata,2017-08-05,f,766573543
Faye,Awa,1940-04-14,f,763416373
Diallo,Abdoulaye,1961-07-11,m,775926572
Fall,Fatou,1995-05-13,f,778047964
Faye,Cheikh,2017-07-23,m,779406818
Diop,Aminata,1954-11-03,f,766225705
Kane,Khady,2010-09-05,f,766375341
Faye,Awa,1986-08-04,f,774493532
Fall,Abdoulaye,1990-12-15,m,786294635
Ndiaye,Cheikh,1997-05-22,m,762911890
